Testing_Date,Province,Province_Code,District,District_Code,Locality,Locality_Code,Financing,Type,Total_Tests,Positive_Cases
2008-08-13,Jujuy,38,Dr. Manuel Belgrano,21,SAN SALVADOR DE JUJUY,60,Public,Provincial,1,0
2019-07-13,CABA,2,COMUNA 02,2,RECOLETA,10,Public,Public University,1,0
2020-02-11,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,2,0
2020-02-20,Buenos Aires,6,Bahía Blanca,56,BAHIA BLANCA,10,Private,Private,1,0
2020-02-20,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,1,0
2020-02-25,Santiago del Estero,86,Capital City,49,SANTIAGO DEL ESTERO,110,Public,Provincial,1,0
2020-02-27,Santiago del Estero,86,Capital City,49,SANTIAGO DEL ESTERO,110,Public,Provincial,1,0
2020-02-27,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,4,0
2020-02-28,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,10,0
2020-03-02,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,5,0
2020-03-03,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,8,1
2020-03-04,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,6,0
2020-03-05,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,7,0
2020-03-06,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,11,7
2020-03-07,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,9,1
2020-03-08,Santiago del Estero,86,Capital City,49,SANTIAGO DEL ESTERO,110,Public,Provincial,1,0
2020-03-08,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,28,3
2020-03-09,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,13,7
2020-03-10,Córdoba,14,Capital City,14,CORDOBA,10,Public,Provincial,1,0
2020-03-10,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,28,2
2020-03-11,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,34,5
2020-03-11,Santa Fe,82,Rosario,84,ROSARIO,270,Private,Private,1,0
2020-03-12,CABA,2,COMUNA 02,2,RECOLETA,10,Private,Private,1,0
2020-03-12,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,45,12
2020-03-13,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,86,7
2020-03-14,CABA,2,COMUNA 01,1,RETIRO,10,Private,Private,1,0
2020-03-14,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,47,7
2020-03-14,CABA,2,COMUNA 02,2,RECOLETA,10,Private,Private,1,0
2020-03-15,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,80,11
2020-03-16,CABA,2,COMUNA 02,2,RECOLETA,10,Private,Private,2,0
2020-03-16,Buenos Aires,6,Morón,568,VILLA SARMIENTO,10,Public,National,1,0
2020-03-16,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,103,12
2020-03-17,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,123,19
2020-03-17,Buenos Aires,6,Bahía Blanca,56,BAHIA BLANCA,10,Private,Private,1,0
2020-03-17,CABA,2,COMUNA 02,2,RECOLETA,10,Private,Private,4,1
2020-03-18,CABA,2,COMUNA 02,2,RECOLETA,10,Private,Private,1,0
2020-03-18,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,199,35
2020-03-18,Santa Fe,82,Rosario,84,ROSARIO,270,Public,Municipal,1,0
2020-03-18,CABA,2,COMUNA 01,1,RETIRO,10,Private,Private,2,2
2020-03-19,Buenos Aires,6,Bahía Blanca,56,BAHIA BLANCA,10,Private,Private,4,0
2020-03-19,Buenos Aires,6,Morón,568,VILLA SARMIENTO,10,Public,National,1,0
2020-03-19,CABA,2,COMUNA 02,2,RECOLETA,10,Private,Private,4,2
2020-03-19,CABA,2,COMUNA 01,1,RETIRO,10,Private,Private,2,0
2020-03-19,Neuquén,58,Confluencia,35,NEUQUEN,70,Public,Provincial,1,1
2020-03-19,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,137,25
2020-03-20,Neuquén,58,Confluencia,35,NEUQUEN,70,Public,Provincial,4,2
2020-03-20,Buenos Aires,6,Bahía Blanca,56,BAHIA BLANCA,10,Private,Private,4,0
2020-03-20,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,207,29
2020-03-20,Santa Fe,82,General López,42,VENADO TUERTO,290,Private,Private,1,0
2020-03-20,CABA,2,COMUNA 04,4,BARRACAS,10,Private,Private,1,1
2020-03-20,Buenos Aires,6,Bahía Blanca,56,BAHIA BLANCA,10,Public,Municipal,1,1
2020-03-20,CABA,2,COMUNA 01,1,RETIRO,10,Private,Private,3,0
2020-03-20,Santa Fe,82,Rosario,84,ROSARIO,270,Public,Municipal,3,0
2020-03-20,CABA,2,COMUNA 02,2,RECOLETA,10,Private,Private,7,1
2020-03-21,Córdoba,14,San Justo,140,SAN FRANCISCO,360,Public,Provincial,1,1
2020-03-21,Santa Fe,82,Rosario,84,ROSARIO,270,Public,Municipal,1,0
2020-03-21,Neuquén,58,Confluencia,35,NEUQUEN,70,Public,Provincial,7,2
2020-03-21,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,Municipal,6,1
2020-03-21,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,275,69
2020-03-21,CABA,2,COMUNA 01,1,RETIRO,10,Private,Private,1,0
2020-03-21,Buenos Aires,6,Bahía Blanca,56,BAHIA BLANCA,10,Private,Private,2,0
2020-03-21,CABA,2,COMUNA 07,7,FLORES,10,Private,Private,1,0
2020-03-21,Buenos Aires,6,Pilar,638,PRESIDENTE DERQUI,40,Private,Private,1,1
2020-03-21,CABA,2,COMUNA 02,2,RECOLETA,10,Private,Private,3,0
2020-03-21,Córdoba,14,Capital City,14,CORDOBA,10,Public,Provincial,24,3
2020-03-21,Santa Fe,82,General López,42,VENADO TUERTO,290,Private,Private,1,0
2020-03-22,Buenos Aires,6,Vicente López,861,OLIVOS,10,Private,Private,3,2
2020-03-22,Neuquén,58,Confluencia,35,NEUQUEN,70,Public,Provincial,10,2
2020-03-22,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,166,45
2020-03-22,Buenos Aires,6,Morón,568,VILLA SARMIENTO,10,Public,National,1,1
2020-03-22,CABA,2,COMUNA 02,2,RECOLETA,10,Private,Private,3,2
2020-03-22,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,Municipal,9,2
2020-03-22,Córdoba,14,Capital City,14,CORDOBA,10,Public,Provincial,22,5
2020-03-22,Santa Fe,82,Rosario,84,ROSARIO,270,Public,Municipal,30,12
2020-03-22,CABA,2,COMUNA 01,1,RETIRO,10,Private,Private,1,0
2020-03-22,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,Armed forces,1,0
2020-03-23,CABA,2,COMUNA 04,4,BARRACAS,10,Private,Private,4,2
2020-03-23,Neuquén,58,Confluencia,35,NEUQUEN,70,Public,Provincial,3,0
2020-03-23,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,134,16
2020-03-23,Córdoba,14,Capital City,14,CORDOBA,10,Public,Provincial,38,2
2020-03-23,Buenos Aires,6,General Pueyrredón,357,MAR DEL PLATA,110,Public,National,22,3
2020-03-23,Chaco,22,San Fernando,140,RESISTENCIA,60,Public,Provincial,12,0
2020-03-23,Tierra del Fuego,94,Ushuaia,14,USHUAIA,20,Public,Provincial,1,1
2020-03-23,CABA,2,COMUNA 01,1,RETIRO,10,Private,Private,6,3
2020-03-23,Santa Fe,82,Rosario,84,ROSARIO,270,Public,Municipal,19,2
2020-03-23,Buenos Aires,6,Pilar,638,PRESIDENTE DERQUI,40,Private,Private,4,3
2020-03-23,Buenos Aires,6,Florencio Varela,274,FLORENCIO VARELA,10,Private,Mixed,1,0
2020-03-23,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,Municipal,23,8
2020-03-23,CABA,2,COMUNA 02,2,RECOLETA,10,Private,Private,14,1
2020-03-23,Buenos Aires,6,Morón,568,VILLA SARMIENTO,10,Public,National,4,1
2020-03-24,Buenos Aires,6,Pilar,638,PRESIDENTE DERQUI,40,Private,Private,6,3
2020-03-24,CABA,2,COMUNA 02,2,RECOLETA,10,Private,Private,5,0
2020-03-24,Córdoba,14,Capital City,14,CORDOBA,10,Public,Provincial,40,6
2020-03-24,Buenos Aires,6,Pilar,638,PILAR,40,Public,Municipal,1,0
2020-03-24,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,National,286,94
2020-03-24,CABA,2,COMUNA 01,1,RETIRO,10,Private,Private,7,2
2020-03-24,CABA,2,COMUNA 09,9,LINIERS,10,Public,Municipal,1,0
2020-03-24,Santa Fe,82,Rosario,84,ROSARIO,270,Public,Municipal,44,18
2020-03-24,Neuquén,58,Confluencia,35,NEUQUEN,70,Public,Provincial,17,1
2020-03-24,Chaco,22,San Fernando,140,RESISTENCIA,60,Public,Provincial,31,5
2020-03-24,CABA,2,COMUNA 04,4,PARQUE PATRICIOS,10,Public,Municipal,6,2
2020-03-24,CABA,2,COMUNA 07,7,FLORES,10,Private,Private,1,0
2020-03-25,Buenos Aires,6,General San Martín,371,GENERAL SAN MARTÍN,10,Private,Private,3,1
